name,episodes_per_month
Mkurugenzii,25.0
The Andrew Kibe Comedy Show,21.739130434782609
Iko Nini Podcast,20.0
Legally Clueless,12.295081967213115
The Kenyan Market Daily,10.54054054054054
Roaming mic podcast,9.7674418604651159
Over Twenty Five ,6.9230769230769225
TRUE CRIME KENYA,6.188340807174888
Just Money Podcast,4.8979591836734695
The Market Colour Podcast,4.3731778425655978
The 30 Percent Podcast,4.2016806722689077
The Sandwich Podcast,3.8167938931297711
TUBONGE ??? PODCAST ,3.4228187919463084
The97sPodcast,3.1512605042016806
Krime KE Podcast ,3.1055900621118009
Kenyan Design Konversations,3.0864197530864197
The Messy Inbetween ,2.9644268774703555
The AfriCAN Do! Podcast,2.9268292682926829
Ado Veli Podcast,2.4958402662229617
Moments of Hope Podcast,2.3622047244094486
Tao Ndani - Kenyan Football Podcast,2.3041474654377883
Kacheche (Kikuyu Podcast),2.1551724137931036
3 truths no lies,1.8367346938775511
Surviving Nairobi,1.8137847642079807
Crime and Consequence KE,1.7940199335548173
The JoyRide.,1.7026106696935301
So This Is Love,1.4395393474088292
"It's Related, I Promise ",1.4097744360902256
Learn Kenyan Law With Wanjiku,1.3058035714285714
The Kenyan Life Podcast ,1.2573344509639564
Mantalk.ke,1.2531328320802007
The Chop Shop Podcast KE ,1.2417218543046358
Conversations With Kalekye,1.1182519280205656
The Bored Cast,1.1061946902654867
The Kenyan Entrepreneur Podcast.,1.0033444816053512
Kenyan Wallstreet,0.946969696969697
KENYAN MADNESS PODCAST ,0.86206896551724144
True Crime Kenya,0.64935064935064934
Kenyan Girl Chronicles ,0.44117647058823534
