name,avg_duration,show_duration_category
3 truths no lies,141.87,Long
Iko Nini Podcast,93.2538,Long
Just Money Podcast,86.822499999999991,Long
The Andrew Kibe Comedy Show,85.568799999999982,Long
The Chop Shop Podcast KE ,84.242,Long
So This Is Love,81.7854,Long
Tao Ndani - Kenyan Football Podcast,80.793400000000034,Long
"It's Related, I Promise ",76.549399999999991,Long
Surviving Nairobi,72.33159999999998,Long
The 30 Percent Podcast,65.993999999999986,Long
The Sandwich Podcast,63.511799999999994,Long
Kenyan Design Konversations,63.200600000000016,Long
Mantalk.ke,62.664000000000023,Long
The Messy Inbetween ,62.656400000000005,Long
TUBONGE ??? PODCAST ,62.427647058823524,Long
The97sPodcast,62.426599999999993,Long
The JoyRide.,60.2056,Long
Moments of Hope Podcast,60.050200000000011,Long
Over Twenty Five ,57.559999999999995,Medium-length
The AfriCAN Do! Podcast,57.231944444444437,Medium-length
The Kenyan Entrepreneur Podcast.,45.641999999999996,Medium-length
Conversations With Kalekye,37.088275862068969,Medium-length
KENYAN MADNESS PODCAST ,35.942,Medium-length
Legally Clueless,33.679599999999986,Medium-length
Roaming mic podcast,31.507142857142853,Medium-length
The Bored Cast,30.438200000000002,Medium-length
True Crime Kenya,30.408,Medium-length
Crime and Consequence KE,27.552222222222223,Short
The Market Colour Podcast,26.852000000000004,Short
Learn Kenyan Law With Wanjiku,25.128717948717949,Short
Kenyan Wallstreet,24.296400000000002,Short
Kenyan Girl Chronicles ,21.592307692307692,Short
Mkurugenzii,19.092666666666663,Short
The Kenyan Market Daily,17.741538461538461,Short
Kacheche (Kikuyu Podcast),17.723,Short
Krime KE Podcast ,16.602199999999996,Short
Ado Veli Podcast,15.4498,Short
The Kenyan Life Podcast ,13.405199999999997,Short
TRUE CRIME KENYA,4.7860869565217392,Short
