name,total_episodes,episodes_analyzed,fraction_analyzed,percent_analyzed
Over Twenty Five ,3,3,1.0,100.0
KENYAN MADNESS PODCAST ,5,5,1.0,100.0
3 truths no lies,6,6,1.0,100.0
Just Money Podcast,8,8,1.0,100.0
The Kenyan Entrepreneur Podcast.,10,10,1.0,100.0
The Kenyan Market Daily,13,13,1.0,100.0
True Crime Kenya,15,15,1.0,100.0
Roaming mic podcast,15,14,0.93333333333333335,93.333333333333329
Mkurugenzii,15,15,1.0,100.0
Crime and Consequence KE,18,18,1.0,100.0
TUBONGE ??? PODCAST ,19,17,0.89473684210526316,89.473684210526315
SPACE YAKO THE PODCAST,21,0,0.0,0.0
Kenyan Girl Chronicles ,26,26,1.0,100.0
Another Podcast with Tawi and Kitt,27,0,0.0,0.0
Conversations With Kalekye,29,29,1.0,100.0
2025 KENYAN MIXES,33,0,0.0,0.0
DJ HERRY MIXES,33,0,0.0,0.0
The AfriCAN Do! Podcast,36,36,1.0,100.0
Learn Kenyan Law With Wanjiku,39,39,1.0,100.0
TRUE CRIME KENYA,46,46,1.0,100.0
Moments of Hope Podcast,52,50,0.96153846153846156,96.15384615384616
The Andrew Kibe Comedy Show,53,50,0.94339622641509435,94.339622641509436
Tao Ndani - Kenyan Football Podcast,58,50,0.86206896551724133,86.206896551724128
So This Is Love,60,50,0.83333333333333337,83.333333333333343
The Chop Shop Podcast KE ,61,50,0.819672131147541,81.9672131147541
Kenyan Design Konversations,63,50,0.79365079365079361,79.365079365079367
Surviving Nairobi,64,50,0.78125,78.125
The Bored Cast,73,50,0.684931506849315,68.4931506849315
BTW Podcast by Celestine,76,0,0.0,0.0
Krime KE Podcast ,87,50,0.57471264367816088,57.47126436781609
"It's Related, I Promise ",88,50,0.56818181818181823,56.81818181818182
The JoyRide.,97,50,0.51546391752577314,51.546391752577314
Nipe Story,113,0,0.0,0.0
Kacheche (Kikuyu Podcast),118,50,0.423728813559322,42.3728813559322
Mantalk.ke,122,50,0.4098360655737705,40.983606557377051
The97sPodcast,128,50,0.390625,39.0625
The Kenyan Life Podcast ,137,50,0.36496350364963503,36.496350364963504
The 30 Percent Podcast,167,50,0.29940119760479039,29.940119760479039
Financially Incorrect,168,0,0.0,0.0
The Market Colour Podcast,196,50,0.25510204081632654,25.510204081632654
The Messy Inbetween ,211,50,0.23696682464454977,23.696682464454977
The ZOZA Podcast,233,0,0.0,0.0
The Sandwich Podcast,256,50,0.1953125,19.53125
Ado Veli Podcast,269,50,0.18587360594795538,18.587360594795538
Iko Nini Podcast,298,50,0.16778523489932887,16.778523489932887
Kenyan Wallstreet,300,50,0.16666666666666666,16.666666666666664
Legally Clueless,500,50,0.1,10.0
The Mics Are Open,556,0,0.0,0.0
