show_id,name,total_episodes,description
5kjaKZLWJjM0jR5WOjdG0B,True Crime Kenya,15,"True Crime Kenya examines Kenyan crimes and cases through the art of storytelling. Each episode takes listeners on a thrilling journey through riveting stories of crime, investigation, and justice in this East African nation. Welcome to True Crime Kenya! ?? Written & Narrated by @thisisdeemnur ?? Produced by @wearepitchr"
3WCMlUfoMq8oFzcetomRJ4,Iko Nini Podcast,298,Raw Discussions on Entertainment & Politics
5ehrCYFqWXgB8z2zaexKUj,The97sPodcast,128,"3MenArmy (Trevor ,Frank,Dante) are the 97s Kids??. Join Us Every Wednesday as we explore daily life experiences and speak out our MINDS in a way that's FUN, sometimes Smart but mostly Stupid??"
0Xx0FhIcZjzNGPTkaAWWy6,3 truths no lies,6,"3 Truths, No Lie is the ultimate truth-or-dare podcast — without the dare. Hosted by Kenya's boldest voices — King Kalala, Frankie JustGymIt, and Uganda's own Christine — this show peels back the layers on life, love, sex, and society through one killer game: each guest shares 3 statements — 2 truths and 1 lie — and the rest have to guess the lie.But it never stops there. The game sparks wild confessions, unfiltered debates, and unexpected truths that go way deeper than the surface. If you love raw honesty, spicy opinions, and stories that hit hard, this one's for you.New episodes every week. Zero filters. Just vibes and the truth (mostly)."
6rA2ixTUZnIPWQu58qZf8L,The Sandwich Podcast,256,"Ensemble of creatives based in Nairobi, speaking on matters around us. The most listened to podcast in Kenya. ??????"
3oTg0dC4npXrp8Jcy30CaG,The Kenyan Entrepreneur Podcast.,10,"My intrigue is in the unearthing of the stories behind brands. Whether personal or corporate, I dig for real emotions, thought processes, inspiration & impact that real life has had on the very brand that is presented to us. I am more for the conversations that I can't google. I love the vulnerability that comes with because it's at that level that we really connect as humans. No curation of what can & can not be said. No safety net, just a free fall in conversation because 100 years from today, I do believe that this conversations will shape the direction of the next generation's truths."
7rXuAwybPWlEDBhGQNokCH,Just Money Podcast,8,"The Just Money Podcast is a premium, first-of-its-kind series featuring industry mavericks who debunk controversial hot takes and explore the bold ideas and debates shaping finance, business, careers, and modern life across Kenya, Africa, and the world. Hosted by Just Ivy Africa in partnership with The Kenyan Wall Street, each episode features an exclusive live call-in segment, granting listeners direct access to expert insight, real-world experience, and informed perspectives."
26ned42lsNFbBmjHvK2F9I,BTW Podcast by Celestine,76,"By The Way with Njugush and Celestine brings you real-life stories, laughter, and relatable moments. Dive into fun, honest conversations about everything from childhood memories to adulting struggles—all with their signature humor and charm. Tune in for a dose of wit and authenticity, Kenyan style. May God Bless You."
1dqkKrG6T9fYtbC1pSliJp,Learn Kenyan Law With Wanjiku,39,"Host Wanjiku Mwangi and co-host Wycliff Owino discuss Kenyan laws plus offer useful current information.  Each episode features an interview with knowledgeable professionals from different sectors who help demystify topical issues. The conversations are candid, in-depth & professional."
0DDeORYJfJyqkHDkTCf5uD,So This Is Love,60,"Welcome to So This is Love, a podcast about love, the loss of love, heartbreak and the meeting of self. We share stories on how the relationships we once had teach us about who we are and define who we become. And maybe through these stories, we can answer that age old question; is it better to have loved and lost than never to have loved at all?"
5rR7pVhmPtlUC1S3rqyBAf,The Messy Inbetween ,211,"Hosts - Murugi Munyi and Lydia K.M.  This is a podcast about life as it is. Messy.  In love, work, money, relationships, friendships and everything in between. But we’re figuring it out and we’d love you to come along on the journey. #tmipodcastke #themessyinbetween #itsmessedup  Instagram handles - @tmipodcast_ @_lydiakm @murugi.munyi  Get in touch with us - tmipodcastke@gmail.com"
3QrSf7FAEfXgc4oRcMvz2Y,"It's Related, I Promise ",88,"A sonic escape into the world of THREE diverse Kenyan women. We are young professionals, braving the urban landscape of Kenya's capital city and growing our friendship as we go along. Sharing our experiences as millennials living in the most dynamic continent; AFRICA. From Nairobi to Lagos, Kampala to Johannesburg, Dakar to Accra, New York to London, and that one guy from the Maldives (we saw you in our analytics- LOL); You're all welcome to join in on the fun! Africa to the WORLD;KARIBUNI SANA! Brought to you by Julia Gaitho, Sharon Machira, & Muthoni Muchiri (Our Silent Member)"
0hOD1cMN0EVLYojlTWQITO,Legally Clueless,500,"Legally Clueless is a weekly podcast by Kenyan media personality & social activist: Adelle Onyango!! Here, she documents her raw human journey as an evolving unapologetically African woman. The podcast is a space where people get to know just how okay it is to not know or not have it all figured out. It is also a space where Africans share stories from their lives; stories that teach, make us cry, make us laugh - real, authentic African stories. The #LegallyClueless hotline is +254768628790"
1xEor6SfYIMxHWJj3pWor5,The Kenyan Life Podcast ,137,"The Kenyan Life Podcast is where real Kenyans, real stories, and real vibes meet.  Hosted by the ever-curious and charismatic Justin Mureti and the bold, no-filter Nicole ‘Wanjiku’ Gitau, this duo is like that one chama meeting you ACTUALLY want to attend—full of laughter, sharp wit, and the kind of banter that makes you say, ""aki these two!""  For any business inquiries please do email jmuretig007@gmail.com or reach us @thekenyanlifepodcast on Instagram."
1ySQTcb6pM2jauLMON3Jsa,2025 KENYAN MIXES,33,www.youtube.com/@BudplayRadio
4bg2YP7tLvJQhz2iZpAITu,The Andrew Kibe Comedy Show,53,"Welcome to the Andrew Kibe Comedy Show on Spotify! Join us for a lighthearted podcast where we leave seriousness behind and focus on unwinding, having a great time, and chilling. It's all about embracing laughter and all other shenanigans in between. This is the who hurt you club and those feelings you can take to your nyanye! Ladies, remember the golden rule: two ears, one mouth. So sit back, listen more, and talk less as we take you on a hilarious journey. Don't be lambistic, tune in now!Join Patreon https://www.patreon.com/kibeandy, https://rumble.com/user/AndrewKibe"
6aU9hxLKdMIEzBfQ2IhYt6,The Mics Are Open,556,"A slightly skewed look at life through the lens of a group of radio presenters in Nairobi, Kenya. Every week G Money, Calvin, Neville, Ashley and Andy Young chop it up on topics that they probably have no expertise in, but some how it works! The Mics Are Open is a random journey that meanders through five very different lives. These guys are so good, you might even think that they are friends in real life!"
2sbWEMHPcaLhZEwWBydQXL,Kacheche (Kikuyu Podcast),118,Kacheche is a weekly podcast by two Kenyan friends navigating life in it's raw form.
16OncLYsH3vSsoo0gOgHF2,Surviving Nairobi,64,Dope conversations with dope people. The gold standard.
5MEWj7iYndVbBg4DBBOOtD,Krime KE Podcast ,87,A true-crime podcast that documents crime stories from Kenya.  New episodes available every Thursday
